Name,Old Name,Flag,IMO,LOA (m),Lloyd Pax Cap,Custom Pax Cap,Operator,Ship Type,Year Built
RADIANCE OF THE SEAS,,Bahamas,9195195,293.2,2496,2122,Royal Caribbean Cruises Ltd,Passenger (Cruise) Ship,2001
REGAL PRINCESS,,Bermuda,9584724,330,4200,,Princess Cruise Lines Ltd,Passenger (Cruise) Ship,2014
REGATTA,,Marshall Islands,9156474,181,824,824,Oceania Cruises Inc,Passenger (Cruise) Ship,1998
ROTTERDAM,,Netherlands,9122552,237.95,1668,,Holland America Line NV,Passenger (Cruise) Ship,1997
RUBY PRINCESS,,Bermuda,9378462,288.59,3575,3575,Princess Cruise Lines Ltd,Passenger (Cruise) Ship,2008
SEA PRINCESS,,Bermuda,9150913,261.31,2342,2342,Princess Cruise Lines Ltd,Passenger (Cruise) Ship,1998
SEABOURN ODYSSEY,,Bahamas,9417086,198.19,450,450,Seabourn Cruise Line Ltd,Passenger (Cruise) Ship,2009
SEABOURN SOJOURN,,Bahamas,9417098,198.19,462,462,Seabourn Cruise Line Ltd,Passenger (Cruise) Ship,2010
SERENADE OF THE SEAS,,Bahamas,9228344,293.2,2500,,Royal Caribbean Cruises Ltd,Passenger (Cruise) Ship,2003
SEVEN SEAS MARINER,,Bahamas,9210139,216,730,,Regent Seven Seas Cruises Inc,Passenger (Cruise) Ship,2001
SEVEN SEAS NAVIGATOR,,Bahamas,9064126,172,530,450,Regent Seven Seas Cruises Inc,Passenger (Cruise) Ship,1999
SILVER EXPLORER,,Bahamas,8806747,108.11,158,300,Silversea Cruises Ltd,Passenger (Cruise) Ship,1989
SILVER WHISPER,,Bahamas,9192179,186,388,300,Silversea Cruises Ltd,Passenger (Cruise) Ship,2001
SIRENA,,Marshall Islands,9187899,181,824,450,Oceania Cruises Inc,Passenger (Cruise) Ship,1999
SPIRIT OF DISCOVERY,,Malta,9802683,236,990,,Saga Cruises Ltd,Passenger (Cruise) Ship,2019
STAR PRINCESS,,Bermuda,9192363,289.51,3300,3300,Princess Cruise Lines Ltd,Passenger (Cruise) Ship,2002
SUN PRINCESS,,Bermuda,9000259,261.31,2272,2272,Princess Cruise Lines Ltd,Passenger (Cruise) Ship,1995
THE WORLD,,Bahamas,9219331,196.35,699,594,ROW Management Ltd,Passenger (Cruise) Ship,2002
VEENDAM,,Netherlands,9102992,219.21,1613,1613,Holland America Line NV,Passenger (Cruise) Ship,1996
VIKING SUN,,Norway (Nis),9725433,228.33,944,,Viking Ocean Cruises Ltd,Passenger (Cruise) Ship,2017
WESTERDAM,,Netherlands,9226891,285.24,2250,2250,Holland America Line NV,Passenger (Cruise) Ship,2004
ZAANDAM,,Netherlands,9156527,237,1440,1440,Holland America Line NV,Passenger (Cruise) Ship,2000
